Date,Product,Category,Region,Channel,Quantity,Unit_Price,Discount,Sales
2015-04-13,Salmeterol,R03,West,Online,6.0,83.49,0.2,400.75
01/05/2016,Etodolac,M01AB,South,Pharmacy,24.0,100.33,0.0,2407.92
2017-01-02,Aspirin,N02BA,South,Online,97.0,67.22,0.1,5868.31
2014-11-20,Cetirizine,R06,East,Hospital,54.0,94.87,0.0,5122.98
2014-04-25,Lorazepam,N05B,North,Clinic,42.0,104.85,0.15,3743.14
2015-07-06,Nitrazepam,N05C,North,Pharmacy,25.0,71.35,0.0,1783.75
2016-11-28,Salsalate,N02BA,East,Online,49.0,86.96,0.0,4261.04
2014-11-17,Salbutamol,R03,South,Online,51.0,18.31,0.1,840.43
2019-12-23,Ibuprofen,M01AE,West,Hospital,111.0,65.49,0.0,7269.39
2019-03-02,Ibuprofen,M01AE,South,Hospital,73.0,51.55,0.05,3574.99
2015-01-09,Loratadine,R06,East,Clinic,111.0,23.25,0.0,2580.75
2019-08-12,Diazepam,N05B,South,Clinic,95.0,16.92,0.2,1285.92
2016-11-21,Salsalate,N02BA,East,Hospital,80.0,18.88,0.0,
2018-05-17,Salbutamol,R03,South,Pharmacy,44.0,103.0,0.2,3625.6
2014-04-17,Diclofenac,M01AB,East,Pharmacy,36.0,96.72,0.0,3481.92
2014-07-29,Fexofenadine,R06,West,Pharmacy,28.0,34.45,0.05,916.37
2016-09-26,Naproxen,M01AE,East,Hospital,51.0,68.68,0.1,3152.41
2018-02-23,Fexofenadine,R06,West,Hospital,61.0,82.13,0.15,4258.44
2015-02-17,Aspirin,N02BA,Central,Clinic,71.0,110.4,0.2,6270.72
2017-07-28,Indomethacin,m01ab,Central,Online,47.0,71.08,0.15,2839.65
2017-12-15,Terbutaline,R03,Central,Clinic,45.0,62.61,0.15,2394.83
2014-03-11,Cetirizine,R06,North,Clinic,45.0,104.3,0.1,4224.15
2015-03-07,Lorazepam,N05B,South,Online,26.0,11.47,0.0,298.22
2016-01-12,Lorazepam,N05B,Central,Clinic,102.0,115.9,0.0,11821.8
2014-05-28,Propacetamol,N02BE,Central,Pharmacy,29.0,20.03,0.05,129353.77359641409
2016-10-07,Lorazepam,N05B,North,Pharmacy,16.0,102.77,0.15,1397.67
2016-08-12,Loratadine,R06,North,Clinic,35.0,97.46,0.1,3069.99
2016-02-27,Etodolac,M01AB,North,Online,128.0,39.05,0.05,4748.48
2016-03-30,Propacetamol,N02BE,West,Hospital,32.0,37.08,0.1,1067.9
2016-10-26,Diazepam,N05B,North,Clinic,74.0,54.69,0.1,-3642.35
2019-04-16,Indomethacin,M01AB,West,Clinic,84.0,111.78,0.0,9389.52
2015-06-19,Diazepam,N05B,East,Clinic,46.0,65.96,0.05,2882.45
2019-12-20,Alprazolam,N05B,West,Pharmacy,98.0,85.42,0.0,8371.16
09/10/2019,Fexofenadine,R06,East,Online,26.0,42.92,0.0,1115.92
2018-09-18,Paracetamol,N02BE,Central,Clinic,28.0,57.66,0.0,1614.48
2016-08-23,Indomethacin,M01AB,West,Pharmacy,20.0,103.71,0.0,2074.2
2019-10-01,Phenacetin,N02BE,North,Clinic,1.0,54.94,0.05,
2015-10-17,Etodolac,M01AB,,Clinic,46.0,31.44,0.0,1446.24
2014-02-02,Ibuprofen,M01AE,North,Clinic,96.0,83.18,0.05,7586.02
2018-12-02,Phenacetin,N02BE,Central,Hospital,70.0,27.43,0.0,1920.1
2017-02-19,Nitrazepam,N05C,Central,Pharmacy,37.0,107.97,0.05,3795.15
2017-12-28,Loratadine,R06,East,Hospital,66.0,99.61,0.15,5588.12
2014-10-06,Salsalate,N02BA,North,Pharmacy,52.0,54.0,0.15,2386.8
2016-11-06,Salbutamol,R03,North,Pharmacy,1.0,49.67,0.05,47.19
2015-11-09,Naproxen,M01AE,West,Clinic,78.0,88.91,0.0,6934.98
2019-06-29,Indomethacin,M01AB,North,Online,66.0,96.06,0.1,5705.96
2019-03-10,Triazolam,N05C,East,Clinic,69.0,67.98,0.05,4456.09
2016-04-16,Lorazepam,N05B,North,Pharmacy,35.0,63.87,0.0,2235.45
2018-04-05,Diazepam,N05B,North,Hospital,66.0,94.23,0.05,5908.22
2018-07-13,Naproxen,M01AE,South,Clinic,71.0,63.33,0.0,4496.43
2019-06-08,Cetirizine,R06,North,Online,46.0,57.29,0.0,2635.34
2014-12-28,Propacetamol,N02BE,West,Pharmacy,56.0,79.06,0.0,4427.36
2015-07-14,Etodolac,M01AB,South,Hospital,35.0,25.51,0.1,803.57
2016-06-12,Diflunisal,N02BA,North,Online,44.0,22.93,0.0,1008.92
2019-08-20,Diflunisal,N02BA,,Clinic,25.0,46.08,0.05,1094.4
2017-10-29,Terbutaline,R03,Central,Online,26.0,56.45,0.0,1467.7
2019-07-10,Zolpidem,N05C,,Pharmacy,14.0,89.54,0.05,1190.88
2016-09-04,Loratadine,R06,North,Hospital,38.0,44.07,0.05,1590.93
14/07/2019,Salmeterol,R03,North,Pharmacy,42.0,77.43,0.2,2601.65
2017-03-07,Naproxen,M01AE,Central,Clinic,66.0,71.13,0.05,4459.85
2019-06-03,Propacetamol,N02BE,North,Online,51.0,34.33,0.2,1400.66
2014-09-16,Terbutaline,R03,West,Hospital,55.0,63.96,0.0,3517.8
30/08/2015,Etodolac,M01AB,Central,Clinic,60.0,109.91,0.05,6264.87
2019-08-10,Naproxen,M01AE,North,Pharmacy,71.0,44.43,0.0,
08/08/2017,Loratadine,R06,West,Online,54.0,53.99,0.15,2478.14
2015-04-16,Terbutaline,R03,South,Hospital,40.0,72.6,0.1,2613.6
2015-05-19,Diazepam,N05B,West,Clinic,47.0,56.46,0.15,2255.58
2016-07-30,Loratadine,R06,South,Clinic,19.0,74.58,0.0,1417.02
2018-11-30,Zolpidem,N05C,Central,Clinic,119.0,106.98,0.0,12730.62
2017-10-23,Salmeterol,R03,East,Hospital,38.0,29.58,0.15,955.43
2014-01-04,Aspirin,N02BA,Central,Online,99.0,116.5,0.15,9803.48
2016-10-23,Paracetamol,N02BE,South,Pharmacy,57.0,26.71,0.05,1446.35
2015-02-26,Indomethacin,M01AB,South,Clinic,21.0,11.08,0.0,232.68
2016-09-07,Aspirin,N02BA,East,Pharmacy,65.0,100.21,0.15,5536.6
2019-01-11,Nitrazepam,N05C,South,Online,57.0,78.0,0.0,4446.0
2016-12-23,Lorazepam,N05B,East,Online,56.0,13.36,0.0,748.16
2014-06-18,Terbutaline,R03,South,Pharmacy,25.0,33.4,0.1,751.5
2016-08-24,Diflunisal,N02BA,North,Pharmacy,56.0,119.11,0.0,6670.16
2015-10-03,Terbutaline,R03,North,Hospital,75.0,101.67,0.2,6100.2
2016-07-08,Etodolac,M01AB,East,Clinic,69.0,28.55,0.2,1575.96
2016-02-10,Paracetamol,N02BE,Central,Pharmacy,46.0,13.81,0.15,539.97
2017-10-12,Paracetamol,N02BE,West,Clinic,74.0,105.6,0.0,7814.4
2016-09-20,Salmeterol,R03,Central,Pharmacy,45.0,86.12,0.0,3875.4
2016-11-27,Aspirin,N02BA,Central,Pharmacy,45.0,112.13,0.0,5045.85
2016-05-19,Cetirizine,R06,South,Clinic,94.0,67.58,0.0,6352.52
2017-07-19,Triazolam,N05C,West,Pharmacy,64.0,8.95,0.05,544.16
2016-01-27,Diflunisal,N02BA,Central,Clinic,52.0,87.5,0.05,4322.5
2016-01-09,Salmeterol,R03,North,Pharmacy,83.0,77.08,0.05,6077.76
2016-01-20,Loratadine,R06,North,Hospital,3.0,69.89,0.1,188.7
2018-11-12,Fexofenadine,R06,Central,Hospital,6.0,66.44,0.2,318.91
2019-01-10,Lorazepam,N05B,Central,Hospital,65.0,42.87,0.0,2786.55
2015-10-12,Propacetamol,N02BE,West,Pharmacy,35.0,81.17,0.0,2840.95
2014-03-06,Naproxen,M01AE,North,Pharmacy,58.0,44.34,0.15,2185.96
2019-01-20,Alprazolam,N05B,West,Hospital,51.0,54.8,0.0,2794.8
2014-03-01,Phenacetin,N02BE,East,Hospital,37.0,17.27,0.0,638.99
2016-05-12,Zolpidem,N05C,South,Pharmacy,67.0,54.79,0.0,3670.93
2019-08-22,Propacetamol,N02BE,West,Clinic,20.0,34.2,0.05,649.8
2015-04-28,Diazepam,N05B,South,Clinic,29.0,99.65,0.1,2600.87
2015-01-23,Cetirizine,R06,East,Pharmacy,56.0,95.07,0.1,4791.53
2019-01-24,Propacetamol,N02BE,South,Clinic,73.0,43.79,0.0,3196.67
2018-07-23,Phenacetin,n02be,South,Hospital,54.0,82.16,0.05,4214.81
2019-04-02,Diflunisal,N02BA,West,Hospital,80.0,43.07,0.15,2928.76
2017-07-22,Salmeterol,R03,West,Online,69.0,11.97,0.2,660.74
2014-02-08,Fexofenadine,R06,West,Pharmacy,79.0,91.64,0.0,7239.56
2018-12-22,Phenacetin,N02BE,Central,Online,44.0,56.33,0.0,2478.52
2014-01-27,Alprazolam,N05B,South,Pharmacy,12.0,96.45,0.2,925.92
2014-06-06,Nitrazepam,N05C,Central,Clinic,56.0,57.96,0.15,2758.9
2018-11-15,Indomethacin,M01AB,North,Hospital,68.0,89.1,0.05,5755.86
2019-07-30,Indomethacin,M01AB,East,Pharmacy,62.0,89.01,0.15,4690.83
2019-09-02,Ketoprofen,M01AE,East,Pharmacy,88.0,17.98,0.0,1582.24
2016-05-20,Aspirin,N02BA,South,Pharmacy,38.0,43.02,0.15,1389.55
2019-01-31,Zolpidem,N05C,North,Pharmacy,104.0,90.7,0.0,9432.8
2019-09-21,Fexofenadine,R06,West,Hospital,61.0,24.5,0.15,1270.33
2016-12-08,Ibuprofen,M01AE,Central,Pharmacy,42.0,110.9,0.1,4192.02
2015-11-12,Diflunisal,N02BA,South,Clinic,68.0,70.22,0.0,4774.96
2018-08-22,Ibuprofen,M01AE,North,Clinic,72.0,61.41,0.1,3979.37
2017-02-03,Indomethacin,M01AB,West,Pharmacy,38.0,49.81,0.05,1798.14
2015-03-29,Salbutamol,R03,East,Clinic,42.0,18.75,0.2,630.0
2017-04-20,Ketoprofen,M01AE,West,Hospital,22.0,107.26,0.15,2005.76
2018-02-01,Zolpidem,N05C,North,Pharmacy,94.0,96.31,0.05,8600.48
2018-05-31,Ibuprofen,M01AE,West,Online,44.0,17.67,0.1,699.73
2017-11-04,Fexofenadine,R06,West,Clinic,86.0,56.67,0.15,4142.58
2016-11-23,Diazepam,N05B,West,Online,86.0,39.25,0.15,2869.17
2014-07-22,Propacetamol,N02BE,North,Pharmacy,23.0,16.42,0.0,
2014-03-28,Propacetamol,N02BE,East,Clinic,63.0,11.31,0.1,641.28
2014-02-04,Naproxen,M01AE,East,Clinic,45.0,38.72,0.0,1742.4
2014-03-14,Phenacetin,N02BE,East,Pharmacy,95.0,48.44,0.2,3681.44
2015-09-29,Ketoprofen,M01AE,North,Hospital,70.0,50.35,0.0,3524.5
2017-06-01,Nitrazepam,N05C,Central,Pharmacy,17.0,43.35,0.2,589.56
2016-02-23,Salbutamol,R03,North,Hospital,68.0,118.18,0.15,6830.8
2014-11-22,Ketoprofen,M01AE,North,Pharmacy,110.0,66.14,0.0,7275.4
2015-11-20,Cetirizine,R06,West,Pharmacy,92.0,9.0,0.0,828.0
2014-08-01,Aspirin,N02BA,Central,Hospital,59.0,106.71,0.0,6295.89
2016-11-07,Loratadine,R06,South,Hospital,12.0,49.35,0.0,592.2
2014-09-24,Terbutaline,R03,East,Hospital,69.0,56.31,0.1,3496.85
2015-08-08,Paracetamol,N02BE,Central,Pharmacy,1.0,5.82,0.0,5.82
2014-02-06,Cetirizine,R06,West,Online,84.0,16.63,0.05,1327.07
2014-07-09,Paracetamol,N02BE,Central,Online,44.0,90.51,0.1,3584.2
2019-04-25,Zolpidem,N05C,South,Pharmacy,22.0,70.32,0.0,1547.04
19/03/2014,Cetirizine,R06,East,Online,70.0,46.72,0.05,3106.88
2014-11-16,Phenacetin,N02BE,West,Pharmacy,83.0,80.75,0.05,6367.14
2016-04-10,Cetirizine,R06,Central,Hospital,42.0,69.19,0.0,2905.98
2014-06-01,Diclofenac,M01AB,North,Pharmacy,76.0,9.79,0.15,632.43
2018-08-17,Salbutamol,R03,South,Hospital,22.0,25.54,0.0,561.88
2014-01-04,Loratadine,R06,West,Hospital,142.0,26.26,0.0,3728.92
2015-12-26,Salsalate,N02BA,South,Hospital,66.0,30.31,0.0,2000.46
2017-11-27,Ibuprofen,M01AE,Central,Clinic,75.0,47.81,0.0,3585.75
2019-05-30,Salsalate,N02BA,Central,Pharmacy,19.0,99.07,0.0,1882.33
2014-04-27,Indomethacin,M01AB,North,Online,77.0,20.13,0.05,1472.51
2017-08-11,Diazepam,N05B,Central,Pharmacy,35.0,65.43,0.2,1832.04
2015-06-21,Indomethacin,M01AB,East,Online,40.0,103.51,0.0,4140.4
2014-11-07,Nitrazepam,N05C,Central,Pharmacy,77.0,32.25,0.2,1986.6
2015-05-02,Paracetamol,N02BE,North,Pharmacy,50.0,19.7,0.0,985.0
2015-04-14,Indomethacin,M01AB,East,Clinic,88.0,43.4,0.05,3628.24
2019-08-28,Ibuprofen,M01AE,North,Clinic,98.0,114.57,0.05,10666.47
2015-12-31,Paracetamol,N02BE,West,Clinic,54.0,89.21,0.1,4335.61
2017-01-23,Propacetamol,N02BE,North,Clinic,83.0,87.49,0.0,7261.67
2014-05-20,Paracetamol,N02BE,West,Pharmacy,25.0,12.26,0.2,245.2
2015-06-09,Lorazepam,N05B,Central,Hospital,18.0,111.76,0.05,1911.1
2014-05-10,Ibuprofen,M01AE,Central,Online,49.0,34.53,0.2,1353.58
2014-03-29,Propacetamol,N02BE,West,Online,75.0,12.52,0.05,892.05
2016-06-08,Triazolam,N05C,South,Online,27.0,34.96,0.05,896.72
2015-09-27,Ibuprofen,M01AE,South,Hospital,62.0,81.34,0.15,4286.62
2016-05-26,Loratadine,R06,North,Clinic,26.0,53.0,0.0,1378.0
2017-06-05,Ibuprofen,M01AE,Central,Clinic,58.0,74.7,0.0,4332.6
2017-01-01,Terbutaline,R03,West,Clinic,54.0,70.56,0.0,3810.24
2015-01-02,Zolpidem,N05C,South,Hospital,141.0,28.21,0.2,3182.09
2015-03-07,Terbutaline,R03,Central,Online,34.0,102.99,0.0,3501.66
2017-08-20,Diclofenac,M01AB,South,Hospital,47.0,103.06,0.0,4843.82
2017-06-10,Diflunisal,N02BA,North,Clinic,22.0,52.08,0.2,916.61
2017-04-07,Propacetamol,N02BE,East,Online,57.0,111.07,0.0,6330.99
2017-09-10,Diclofenac,M01AB,North,Clinic,57.0,33.2,0.15,1608.54
2019-12-17,Phenacetin,N02BE,East,Hospital,122.0,23.08,0.0,2815.76
2017-09-14,Naproxen,m01ae,East,Online,39.0,91.05,0.0,3550.95
2017-01-21,Fexofenadine,r06,South,Pharmacy,37.0,27.85,0.05,978.93
2014-06-29,Propacetamol,N02BE,Central,Clinic,38.0,41.15,0.0,1563.7
2016-12-28,Propacetamol,N02BE,North,Hospital,55.0,100.16,0.1,4957.92
2015-06-19,Etodolac,M01AB,East,Online,57.0,8.2,0.15,397.29
2018-06-20,Naproxen,M01AE,South,Pharmacy,63.0,91.14,0.0,5741.82
2018-07-29,Salmeterol,R03,East,Clinic,30.0,97.73,0.2,2345.52
2016-03-10,Fexofenadine,R06,East,Hospital,37.0,74.35,0.0,-2750.95
2015-03-24,Naproxen,M01AE,East,Hospital,50.0,56.74,0.0,2837.0
2015-10-04,Diazepam,N05B,South,Clinic,32.0,79.82,0.1,2298.82
2018-04-19,Zolpidem,N05C,North,Hospital,29.0,63.7,0.15,1570.21
2019-08-29,Aspirin,N02BA,South,Pharmacy,37.0,28.31,0.2,837.98
2016-02-19,Cetirizine,R06,East,Hospital,81.0,71.86,0.0,120525.05468274516
2018-11-07,Nitrazepam,N05C,South,Clinic,73.0,75.96,0.1,4990.57
2019-08-18,Phenacetin,N02BE,Central,Pharmacy,73.0,27.72,0.2,1618.85
2014-03-30,Triazolam,N05C,East,Online,90.0,89.85,0.0,8086.5
2016-11-22,Naproxen,M01AE,South,Pharmacy,,55.02,0.0,5612.04
2017-05-30,Alprazolam,N05B,North,Pharmacy,24.0,35.97,0.15,733.79
2019-09-30,Salsalate,N02BA,South,Online,54.0,70.73,0.0,3819.42
2018-01-01,Loratadine,R06,East,Online,79.0,94.01,0.05,7055.45
2015-01-14,Salsalate,N02BA,West,Clinic,37.0,73.32,0.15,2305.91
2014-03-17,Aspirin,N02BA,West,Hospital,56.0,85.95,0.15,4091.22
2014-01-12,Fexofenadine,r06,Central,Hospital,92.0,42.17,0.0,3879.64
2014-04-30,Fexofenadine,R06,East,Clinic,32.0,56.68,0.1,1632.38
2018-03-24,Fexofenadine,R06,North,Hospital,60.0,17.47,0.0,1048.2
2017-12-03,Salsalate,N02BA,North,Pharmacy,92.0,96.12,0.0,8843.04
2015-12-11,Salsalate,N02BA,Central,Hospital,63.0,53.8,0.0,3389.4
2018-11-19,Nitrazepam,N05C,East,Hospital,94.0,27.93,0.05,2494.15
2019-04-12,Terbutaline,R03,North,Pharmacy,84.0,7.2,0.15,514.08
2018-09-30,Salsalate,N02BA,West,Pharmacy,54.0,54.91,0.05,2816.88
2019-03-01,Naproxen,M01AE,North,Hospital,61.0,99.34,0.0,6059.74
2018-09-04,Diazepam,N05B,Central,Online,55.0,109.81,0.0,6039.55
2017-07-21,Paracetamol,N02BE,West,Hospital,33.0,86.06,0.0,2839.98
2015-12-18,Phenacetin,n02be,South,Online,89.0,90.14,0.2,6417.97
2018-04-19,Paracetamol,N02BE,East,Clinic,43.0,51.94,0.1,2010.08
2017-01-15,Salbutamol,R03,South,Hospital,85.0,5.93,0.0,504.05
2019-02-16,Diazepam,N05B,East,Hospital,1.0,45.64,0.0,45.64
2016-02-26,Cetirizine,R06,South,Online,88.0,41.44,0.05,3464.38
2015-10-29,Nitrazepam,N05C,West,Hospital,69.0,22.29,0.0,1538.01
30/08/2017,Fexofenadine,R06,Central,Clinic,42.0,42.36,0.0,1779.12
2017-07-05,Terbutaline,R03,West,Hospital,40.0,12.21,0.0,488.4
2019-04-10,Diflunisal,N02BA,West,Online,52.0,31.54,0.0,185908.73715870458
2018-04-24,Indomethacin,M01AB,Central,Online,71.0,17.44,0.0,1238.24
2018-05-29,Loratadine,R06,North,Hospital,80.0,5.11,0.0,408.8
2015-11-26,Triazolam,N05C,South,Clinic,95.0,108.92,0.2,8277.92
2018-01-14,Fexofenadine,R06,East,Online,25.0,62.15,0.15,1320.69
2014-07-29,Triazolam,N05C,Central,Hospital,44.0,11.84,0.1,468.86
2015-05-31,Aspirin,N02BA,Central,Pharmacy,62.0,119.5,0.1,6668.1
2015-04-13,Zolpidem,N05C,South,Pharmacy,43.0,81.16,0.2,2791.9
2016-03-02,Aspirin,N02BA,East,Pharmacy,57.0,45.02,0.2,2052.91
2016-11-15,Fexofenadine,R06,North,Clinic,59.0,81.12,0.05,4546.78
2016-02-24,Diflunisal,N02BA,South,Clinic,83.0,38.42,0.0,3188.86
2018-05-18,Salmeterol,R03,East,Online,18.0,6.72,0.15,102.82
2015-02-17,Propacetamol,N02BE,South,Pharmacy,27.0,43.96,0.1,1068.23
2014-01-22,Cetirizine,R06,West,Clinic,86.0,85.04,0.0,7313.44
2016-07-06,Indomethacin,M01AB,West,Online,13.0,7.77,0.15,85.86
2019-01-27,Triazolam,N05C,Central,Pharmacy,30.0,92.07,0.1,2485.89
2017-07-07,Zolpidem,N05C,West,Hospital,21.0,118.12,0.15,2108.44
2015-07-24,Lorazepam,N05B,East,Online,6.0,36.56,0.2,175.49
2016-03-02,Naproxen,M01AE,East,Pharmacy,66.0,107.44,0.2,5672.83
2019-12-29,Salbutamol,R03,West,Pharmacy,38.0,5.84,0.15,188.63
2018-08-30,Terbutaline,R03,East,Pharmacy,55.0,116.09,0.0,6384.95
2019-10-16,Indomethacin,M01AB,Central,Clinic,50.0,58.67,0.0,2933.5
2014-06-23,Cetirizine,R06,West,Clinic,6.0,105.3,0.0,631.8
2017-10-14,Paracetamol,N02BE,Central,Pharmacy,76.0,68.16,0.15,4403.14
2016-02-14,Cetirizine,R06,South,Clinic,36.0,109.24,0.0,3932.64
2019-08-22,Lorazepam,N05B,Central,Clinic,31.0,10.71,0.2,265.61
2014-08-13,Phenacetin,N02BE,Central,Online,24.0,44.31,0.0,1063.44
2015-05-02,Lorazepam,N05B,North,Clinic,37.0,46.49,0.1,1548.12
2014-08-30,Propacetamol,N02BE,West,Clinic,35.0,39.95,0.05,1328.34
2019-01-07,Lorazepam,N05B,North,Online,71.0,91.31,0.05,6158.86
2019-11-29,Aspirin,N02BA,West,Clinic,58.0,50.96,0.0,2955.68
2019-05-13,Diazepam,N05B,West,Pharmacy,40.0,68.63,0.0,2745.2
2015-12-08,Etodolac,M01AB,East,Hospital,58.0,61.35,0.0,3558.3
2016-12-12,Aspirin,N02BA,East,Pharmacy,47.0,46.41,0.1,1963.14
2019-09-22,Alprazolam,N05B,West,Hospital,30.0,85.18,0.0,2555.4
2019-05-10,Diazepam,N05B,South,Pharmacy,52.0,101.66,0.05,5022.0
2018-02-02,Diclofenac,M01AB,West,Hospital,96.0,11.5,0.1,993.6
2018-11-21,Nitrazepam,N05C,North,Pharmacy,64.0,50.25,0.05,3055.2
2016-05-04,Paracetamol,N02BE,West,Clinic,59.0,38.36,0.0,2263.24
2015-08-05,Etodolac,M01AB,Central,Pharmacy,37.0,108.88,0.2,3222.85
2017-09-02,Alprazolam,N05B,West,Hospital,33.0,80.72,0.1,2397.38
2019-11-13,Nitrazepam,N05C,South,Hospital,83.0,56.53,0.05,4457.39
2016-03-31,Terbutaline,R03,North,Pharmacy,29.0,69.21,0.0,2007.09
2016-02-16,Paracetamol,N02BE,South,Pharmacy,57.0,50.57,0.2,2305.99
2015-10-23,Salbutamol,R03,Central,Online,77.0,102.61,0.0,7900.97
2016-02-09,Paracetamol,N02BE,North,Online,48.0,93.64,0.2,3595.78
2018-10-13,Ketoprofen,m01ae,East,Pharmacy,66.0,21.59,0.2,1139.95
31/12/2016,Diclofenac,M01AB,West,Online,57.0,113.67,0.15,5507.31
2014-01-23,Terbutaline,R03,Central,Clinic,79.0,39.1,0.05,2934.45
2016-04-14,Diazepam,N05B,East,Hospital,50.0,12.26,0.05,582.35
2014-04-25,Cetirizine,R06,East,Hospital,68.0,53.93,0.0,3667.24
2017-10-17,Loratadine,R06,West,Pharmacy,62.0,88.18,0.15,4647.09
2016-12-01,Diazepam,N05B,West,Clinic,34.0,71.04,0.2,1932.29
2016-07-23,Naproxen,M01AE,West,Pharmacy,28.0,9.47,0.0,265.16
2014-07-07,Naproxen,M01AE,North,Hospital,44.0,72.02,0.15,2693.55
2015-10-07,Diflunisal,N02BA,North,Clinic,39.0,117.05,0.0,4564.95
2014-06-05,Salbutamol,R03,Central,Pharmacy,39.0,62.05,0.0,2419.95
2016-06-18,Aspirin,N02BA,East,Clinic,40.0,68.92,0.2,2205.44
2018-09-06,Propacetamol,N02BE,East,Online,78.0,7.23,0.0,563.94
2015-04-23,Ibuprofen,M01AE,South,Online,53.0,39.68,0.05,1997.89
2018-05-02,Lorazepam,N05B,North,Online,41.0,43.59,0.0,1787.19
2017-04-25,Salmeterol,R03,Central,Clinic,21.0,37.66,0.0,790.86
2016-10-22,Diclofenac,M01AB,East,Online,30.0,47.17,0.2,1132.08
2019-01-15,Lorazepam,N05B,South,Online,66.0,98.81,0.05,6195.39
2018-08-21,Diflunisal,N02BA,East,Hospital,62.0,75.08,0.0,4654.96
2019-05-27,Fexofenadine,R06,West,Pharmacy,70.0,13.97,0.05,929.0
2019-02-23,Nitrazepam,N05C,West,Clinic,74.0,88.35,0.0,6537.9
2016-06-28,Phenacetin,N02BE,Central,Online,50.0,119.27,0.2,4770.8
2018-10-09,Diclofenac,M01AB,West,Clinic,46.0,104.77,0.0,4819.42
2014-05-01,Ketoprofen,M01AE,South,Online,19.0,66.35,0.0,1260.65
2018-09-23,Salsalate,N02BA,North,Clinic,58.0,105.84,0.05,5831.78
2015-10-02,Triazolam,N05C,Central,Pharmacy,23.0,89.51,0.1,1852.86
2015-10-15,Etodolac,M01AB,North,Pharmacy,67.0,50.95,0.0,3413.65
2018-07-26,Alprazolam,N05B,West,Clinic,39.0,22.47,0.05,832.51
2017-04-04,Triazolam,N05C,North,Online,83.0,17.66,0.0,1465.78
2016-02-07,Aspirin,N02BA,West,Online,,43.49,0.1,4696.92
2014-05-02,Loratadine,R06,West,Clinic,68.0,57.3,0.0,3896.4
2014-10-15,Nitrazepam,N05C,West,Pharmacy,81.0,49.76,0.0,4030.56
2015-04-28,Diflunisal,N02BA,East,Hospital,30.0,48.16,0.0,1444.8
07/10/2019,Etodolac,M01AB,South,Clinic,56.0,108.36,0.15,5157.94
2017-11-16,Cetirizine,R06,West,Online,78.0,39.99,0.1,2807.3
2014-02-15,Ketoprofen,M01AE,North,Online,50.0,33.92,0.2,1356.8
2017-02-15,Diazepam,N05B,Central,Hospital,47.0,84.07,0.2,3161.03
2018-10-06,Terbutaline,R03,North,Hospital,37.0,114.06,0.0,4220.22
2019-10-18,Alprazolam,N05B,West,Pharmacy,96.0,91.84,0.0,8816.64
2014-12-02,Lorazepam,N05B,North,Pharmacy,45.0,46.87,0.0,2109.15
2014-08-28,Ibuprofen,M01AE,North,Clinic,70.0,100.08,0.15,5954.76
2014-03-09,Indomethacin,M01AB,Central,Online,37.0,12.93,0.0,478.41
2014-09-27,Diflunisal,N02BA,Central,Hospital,81.0,57.81,0.0,4682.61
2014-12-11,Salmeterol,R03,Central,Online,59.0,101.83,0.15,5106.77
2017-12-21,Salbutamol,R03,West,Online,109.0,15.17,0.15,1405.5
2016-01-27,Diclofenac,M01AB,South,Pharmacy,114.0,42.48,0.2,3874.18
